"Premises","Hypothesis","GoldLabel"
"(high heels; is getting; onto a bicycle) ||| (A woman in a black dress; is getting; onto a bicycle)","A woman who is late steals a bike so she can make her important job interview in time.","neutral"
"(Several people , including a man in a woman; are dancing; at a party) ||| (a woman; wearing; a scarf) ||| (Several people , including a man in a green shirt; are dancing; at a party)","Humans dancing.","entailment"
"(A group of children; is clustered; L:in a sunny area with a statue) ||| (A group of children; is clustered; L:in a sunny area; with benches) ||| (A group of women; is clustered; L:in a sunny area with a statue) ||| (A group of women; is clustered; L:in a sunny area; with benches) ||| (A group of men; is clustered; L:in a sunny area with a statue) ||| (A group of men; is clustered; L:in a sunny area; with benches)","A group of convicts recently escaped from prison in broad daylight.","contradiction"
"(A group of performers; play; L:under the spotlight) ||| (A group of performers; sing; )","There are people performing.","entailment"
"(A person with a camouflaged cap; gives; blond woman; L:in an ice cream cone outside) ||| (A person with a black shirt; gives; blond woman; L:in an ice cream cone outside) ||| (A person with a ponytail; gives; blond woman; L:in an ice cream cone outside)","A person is running around","contradiction"
"(a bag; filled; with some sort of round green vegetable) ||| (woman; squatting; over a bag)","A woman is filling a bag with peppers.","neutral"
"(Children in halmets; play; football) ||| (Children in pads; play; football) ||| (Children in uniforms; play; football)","The kids are playing on one team in a football game.","neutral"
"(Three children; standing; near; T:next to a tall blue wooden post) ||| (Three children; standing; near each other)","Five grown men are bowling.","contradiction"
"(a river bed; dried up; by drought) ||| (A young ethnic girl in a bright blue dress; walks; along the bank of a river bed)","Nobody is walking","contradiction"
"(A brown - haired man in a purple tie; is singing; into a microphone) ||| (A brown - haired man in a patterned shirt; is singing; into a microphone)","The brown-haired man is talking on the phone.","contradiction"
"(A man; wearing; green scarf) ||| (A man; lying down; in the dirt)","A man is shown outdoors.","entailment"
"(girl; are splashing; around; L:in the ocean) ||| (A boy; are splashing; around; L:in the ocean)","Their parents are watching them while they are in the water.","neutral"
"(three men; are walking; L:on a dirt trail) ||| (Two women; are jogging; )","A group of eagles walk along the path","contradiction"
"(woman; take; pictures; on a street corner) ||| (A man; take; pictures; on a street corner)","They are tourists taking a picture of the scenery.","neutral"
"(Two; laughing; ) ||| (Two asian women; smiling; )","The women are having a good time.","entailment"
"(two people; watching; the sunset) ||| (two people; stand; elbow; L:deep in the ocean)","It is 6:00 a.m. at the equator.","contradiction"
"(A man; is playing; guitar; L:on the grass) ||| (A man; is sitting; )","The man is sleeping under the tree.","contradiction"
"(An old man in traditional costume; to be; in a cheerful mood) ||| (An old man in traditional costume; seems; )","A happy man in a costume is getting ready to act.","neutral"
"(The short-haired man; to be holding; something; to the long, curly-haired man's chin) ||| (The short-haired man; appears; )","The two men are dating","neutral"
"(the street; dressed; in black boots) ||| (the street; dressed; in a black coat) ||| (A woman; walks; down the street)","The man is walking down the streen in black shoes and attire.","contradiction"
"(children; navigate; the balcony of an amusement ride) ||| (A woman; navigate; the balcony of an amusement ride)","The children belong to the woman","neutral"
"(a man in a suit; stand; in front of a group of people; L:at an outdoor wedding) ||| (A woman in a wedding dress; stand; in front of a group of people; L:at an outdoor wedding)","A group of people look on as the bride and groom exchange their vows.","neutral"
"(a brown dog; jumping; over a yellow stick) ||| (a brown dog; jumping; over a blue stick)","The brown dog is jumping onto his owner.","contradiction"
"(a crosswalk; holding; a motorbike helmet) ||| (A man; waits; L:at a crosswalk)","A man is waiting to cross the street.","entailment"
"(both; wearing; knit caps) ||| (a younger girl; slide; down a hill; T:on a snow sled) ||| (a younger girl; wearing; blue jackets) ||| (a dog; running; L:at their side) ||| (A woman; slide; down a hill; T:on a snow sled)","A robot walking on the moon.","contradiction"
"(Several people in a semicircle; are holding; singing in a wooded area with many people in the background) ||| (Several people in a semicircle; are holding; folders; L:in a wooded area with many people in the background)","The wooded area is silent and empty.","contradiction"
"(a boy; enjoy; a fast amusement ride) ||| (A girl; enjoy; a fast amusement ride)","the girl and boy writing exam in the class room","contradiction"
"(a bigger black dog; is carrying; something orange) ||| (a bigger brown dog; is carrying; something orange) ||| (A small white dog; is carrying; something blue in its mouth)","The dog is purple","contradiction"
"(A woman with blue striped pants; is walking; past a building with a lot of graffiti on it) ||| (A woman with a white shirt; is walking; past a building with a lot of graffiti on it)","a woman walks and watches graffiti","entailment"
"(An off road BMX rider; navigating; a trail in a heavily forested area abundant with greenery) ||| (An off road BMX rider; is seen; )","A person is being active","entailment"
"(A black dog; leaps; through long grass in a field) ||| (A white dog; leaps; through long grass in a field)","The dog is chasing a cat.","neutral"
"(a brown object; hidden; L:amongst green leaves) ||| (A toddler; reaching; up; for a brown object)","A baby sitting.","contradiction"
"(Man; talking; L:on cellphone; L:outside) ||| (Man; laughing; )","A man is chatting on the phone.","entailment"
"(people; enjoying; an art gallery) ||| (A crowd of people; mingling; )","The crowd of people are black.","neutral"
"(A man in blue jeans; stands; in front of a shop window next to a open cellar) ||| (A man in a black shirt; stands; in front of a shop window next to a open cellar)","The man is sitting at the kitchen table.","contradiction"
"(woman; are dancing; L:in a brick courtyard) ||| (A young man; are dancing; L:in a brick courtyard)","The people are sitting","contradiction"
"(other dancers; similarly attired; L:in the background) ||| (A woman in a flowing blue robe with a white wave pattern; is dancing; L:in front of a large brick building with other dancers)","A woman and other dancers are performing a recital on the street.","neutral"
"(A man; pushes; a food cart) ||| (A man with a beige jacket; carries; a water jug)","Thor crochets.","contradiction"
"(A woman in a blue scarf; is; next to an orange bike) ||| (A woman in a green shirt; is; next to an orange bike)","A woman is wearing all black.","contradiction"
"(a bathroom sauna; wearing; a robe) ||| (A small child; sits; in a bathroom sauna)","A kid is enjoying a day at the spa.","neutral"
"(a construction zone; fenced off; with orange plastic fencing) ||| (Three people; walk; past a construction zone)","A new house is being built.","neutral"
"(one of them; holding; a Frisbee) ||| (Four guys; are standing; by a white fence)","The men gather around the fence.","entailment"
"(A blond woman; is eating; Oreo cookies) ||| (A blond woman; is studying; )","The woman is studying physics.","neutral"
"(a crowd; using; a long lens; to take a photo) ||| (A photographer in a crowd; smiling; )","The photographer is near other people.","entailment"
"(A smiling child; eats; a snack) ||| (A smiling child; sits; against a wall; L:on a blanket)","The child is tending a herd of sheep.","contradiction"
"(The colors of the kitchen; are; monotone colors of black) ||| (The colors of the kitchen; are; monotone colors of gray) ||| (The colors of the kitchen; are; monotone colors of tan) ||| (The colors of the kitchen; are; monotone colors of white)","The kitchen is in a swimming pool.","contradiction"
"(A woman; reading; a newspaper behind a bud light advertisement) ||| (A woman; is smiling; )","The woman is standing near an advertisement.","entailment"
"(a guy; holding; his nose) ||| (A wide eyed guy in a blue jacket; is standing; next to a guy) ||| (A wide eyed guy in a blue jacket; is holding; a beer)","The two men are collecting stamps.","contradiction"
"(a black sweatshirt; is excitedly speaking; L:on a cellphone) ||| (A gentleman in jeans; is excitedly speaking; L:on a cellphone)","A man talking with his wife on the phone.","neutral"
"(A woman in a green coat its on a stone block; looking out; ) ||| (A woman in a knit cap; looking out; )","A female is wearing a tshirt.","contradiction"
"(a girl; are riding; on a camel in the sand on the beach) ||| (A boy; are riding; on a camel in the sand on the beach)","Two young people are on top of an animal near some water.","entailment"
"(a beach; looking; in the distance) ||| (Two men; are; on a beach)","a dog jumps high","contradiction"
"(a counter; mixing; something; L:in a bowl) ||| (A small child in a pink shirt; is standing; at a counter)","A child prepare muffin mix.","neutral"
"(Protesters in elaborate midriff baring shirts; hold; signs) ||| (Protesters in elaborate makeup baring shirts; hold; signs)","Female protesters are outside.","neutral"
"(a man; posing; on the street; L:in a silver suit) ||| (A man in a black jacket in jeans; takes; a photograph of a man)","Two people are outside and one is talking photos.","entailment"
"(a table; containing; crackers) ||| (a table; containing; chocolate) ||| (a table; containing; aluminum foil) ||| (a young man; is sitting; near a table; T:At night)","Young man sitting in a movie theater, waiting for a movie to begin playing.","contradiction"
"(one leg; raised; T:while in the ocean) ||| (A woman; is standing; with one leg) ||| (A woman; is standing; with both arms in the air)","The female is in the ocean with her limbs everywhere.","entailment"
"(a river; overlooking; a mountain) ||| (Two groups; are canoeing; L:on a river)","Several people boat down a river.","entailment"
"(A group of workers in hard hats; pose; for a photograph) ||| (A group of workers in reflective orange vests; pose; for a photograph)","The group is dressed like police officers.","contradiction"
"(Two men; playing together; music) ||| (Two men; sitting; on a couch)","Two men running a race.","contradiction"
"(jockeys; running; L:in a turf race) ||| (Horses; running; L:in a turf race)","The Jockeys are sleeping on the track.","contradiction"
"(a young boy with large blue eyes; brushes; his teeth) ||| (a young boy with blue hair; brushes; his teeth)","The boy is blonde.","contradiction"
"(both women; are laughing; ) ||| (A woman; is covering; the eyes of another woman)","The woman is giving the other woman a surprise.","neutral"
"(woman; relaxing; L:in a beautiful , scenic country) ||| (A man; relaxing; L:in a beautiful , scenic country)","The man and woman are lounging in beach chairs.","neutral"
"(Kids; destroying; objects) ||| (Kids; building; )","Kids are playing with things.","entailment"
"(A white dog; returns; a stick; in the snow) ||| (A black dog; returns; a stick; in the snow)","The dog loves to play outside.","neutral"
"(A group of five young people; are relaxing; L:on some stairs) ||| (A group of five young people; are sitting; )","Five people sit outside with their supper.","neutral"
"(A boy; hanging; from the hoops) ||| (A boy; playing; basketball; L:in a fenced area)","The boy is touching the hoop.","entailment"
"(a boat; stuck; in the sand) ||| (a man; sits; on a boat)","A man relaxes on a beached boat.","neutral"
"(a lady; wearing; a blue jacket; L:at an event) ||| (a lady; wearing; a tan hat; L:at an event) ||| (A lady in a pink hat; is interacting; with a lady)","The women have their backs turned to each other.","contradiction"
"(a young child; are sitting together; in a highchair) ||| (A baby; are sitting together; in a highchair)","Two children are sitting together","entailment"
"(the companies; associated; with Boston) ||| (broad daylight; surrounded; by signs of the companies) ||| (broad daylight; surrounded; by signs of the Boston Red Sox) ||| (An eclectic crowd; gathers; L:in front of two buildings in broad daylight)","Go Bulls!","contradiction"
"(A man; rides; a red motorcycle) ||| (A man; rides; a silver motorcycle)","A man is using a vehicle.","entailment"
"(women; walking; down a sidewalk) ||| (Men; walking; down a sidewalk)","man at home sleeping","contradiction"
"(a table; filled; with softdrinks) ||| (A man; is sitting; at a table)","The table is empty.","contradiction"
"(People; holding; umbrellas) ||| (People; are waiting; for something in the rain)","A couple is at a Christmas parade.","contradiction"
"(a steps; outdoors playing; an accordion) ||| (A woman; is sitting; on a steps)","Someone is outside.","entailment"
"(hats; pose; with fingers) ||| (hats; pose; with American flags) ||| (fingers; held up; with the number three) ||| (People in costume; pose; with fingers) ||| (American flags; held up; with the number three) ||| (People in costume; pose; with American flags)","People are in a parade.","neutral"
"(tall , gray hair; sits; next to a pile of peanuts) ||| (An older women , with dark skin; sits; next to a pile of peanuts)","The woman is sitting by a pile of peanuts.","entailment"
"(jeans; using; a cellphone) ||| (A teenage girls in a navy sweater; using; a cellphone)","A teenager is using a phone","entailment"
"(a dark jacket; walks; L:in front of a building) ||| (A woman in blue jeans; walks; L:in front of a building)","The woman is headed to work.","neutral"
"(A woman in black wedged sandals; is wearing; a sleeveless black shirt; T:while standing in front of a building) ||| (A woman in black wedged sandals; is wearing; white pants; T:while standing in front of a building)","The woman is wearing a swimsuit.","contradiction"
"(A group of young blond children; poses; L:in front of a house) ||| (one; carrying; a rifle)","A group of boy scouts stand in front of the scout leaders house.","neutral"
"(a man; walking; down a wood path toward a beach bag) ||| (water; carrying; a towel) ||| (a man; walking; down a wood path toward water) ||| (a man; wearing; sandal)","A man is wearing sandals.","entailment"
"(White - haired man in black coat; sitting; against brick wall) ||| (White - haired man in black hat; sitting; against brick wall)","A white haired wizard dressed in black from another dimension sitting near a portal in a wall.","contradiction"
"(A man; holding; a flag) ||| (A man; is standing; on a stage)","There is one man in the picture.","entailment"
"(People; looking out; the windows) ||| (People on a bus; riding; )","People are on an airplane.","contradiction"
"(a path; looking; at nature) ||| (Two women; kneel; L:on a path)","The women are in the living room admiring nature.","contradiction"
"(a red shirt; practicing; calligraphy; T:while being watched by other children) ||| (A boy; wearing; a red shirt practicing calligraphy)","A girl paints a picture alone in her home.","contradiction"
"(an art museum; listening; to an older lady) ||| (A group of kids; sitting; on the floor; L:in an art museum)","The museum is boring.","neutral"
"(hands; blocking; the sun) ||| (Two golfers; look off; into the distance with hands)","Two people are playing golf.","entailment"
"(A man with blue with red polka dotted bottoms on; is running; into the water) ||| (A man with a blue hat; is running; into the water)","A man is not wearing pants.","contradiction"
"(Bald guy smoking; holding; a camera) ||| (Bald guy; smoking; a cigarette)","THE grass was green","neutral"
"(2 girls out; running possibly; L:in a marathon; T:in a park) ||| (Two guys; out running possibly; L:in a marathon; in a park)","The people are walking slowly.","contradiction"
"(A woman jeans; promoting; for CYFD; L:by the street) ||| (A woman; promoting; for CYFD; L:by the street; L:in a white top)","A woman promotes something.","entailment"
"(one man; are having; a friendly conversation in an office) ||| (Three women; are having; a friendly conversation in an office)","The people are having an argument","contradiction"
"(a man at the front right; is standing; behind a microphone) ||| (African American people in dark clothing; are raising; their hands; up; L:in a room with green curtains)","People are swimming.","contradiction"
"(The brown dog; are playing; L:in the dead grass) ||| (The white dog; are playing; L:in the dead grass)","Two dogs playing in their backyard.","neutral"
"(A man in a white shirt; is riding; a bike) ||| (A man in a yellow shirt; is riding; a bike) ||| (A man in a blue shirt; is riding; a bike)","a woman is jumping","contradiction"
"(A worker; wearing; pink sweater reviews products) ||| (A worker; wearing; a blue lab coat)","The lab worker is looking at lipstick.","neutral"
"(a cliff; overlooking; the ocean) ||| (Three scouts; are; on top of a cliff)","Three scouts are inside a tree house.","contradiction"
"(rocks; covered; in seaweed) ||| (A dog; is carrying; a yellow rope; across rocks)","A cat is playing outdoors.","contradiction"
"(Young man with a striped blue shirt with blue jeans on; is playing; a game of pool) ||| (Young man with yellow hair; is playing; a game of pool)","a boy plays pool","entailment"
"(Happy children; smiling; ) ||| (Happy children; rocking out; )","A math teacher trying to explain a complicated formula.","contradiction"
"(a golf course; playing; golf) ||| (A man; is; on a golf course)","The man is playing volleyball with his friends.","contradiction"
"(A black dog; is jumping; through a ring of fire) ||| (A brown dog; is jumping; through a ring of fire)","There are puppies running through a hoop of fire.","neutral"
"(a pink flowered blouse; holding; a hose) ||| (a pink flowered blouse; is standing; in the grass) ||| (A little girl with bangs; holding; a hose) ||| (A little girl with bangs; is standing; in the grass)","boy in bunk bed","contradiction"
"(A procession of children; play; percussion instruments) ||| (A procession of children; play; drums) ||| (A procession of adults; play; percussion instruments) ||| (A procession of adults; play; drums)","People of all ages playing in a band","entailment"
"(people; practicing; their music skills; T:while gathered around the house) ||| (people; practicing; their instrumental skills; T:while gathered around the house)","A band practices their new songs.","neutral"
"(Man; stroking; a violin bow across it) ||| (Man; holding; a sword like a violin)","A man is pretending to play the violin.","entailment"
"(the beach; laying; on a beanbag) ||| (A man; is; at the beach)","A man is getting a suntan.","neutral"
"(a skeleton; is; on the left inside of a fence) ||| (A person; is walking; L:on a sidewalk)","The person is walking by a haunted house.","neutral"
"(The setting sun; outlines; the surrounding trees) ||| (The setting sun; outlines; a group of four people)","The moon darkens the group.","contradiction"
"(groom; being photographed; L:on a stairway in a very public area) ||| (A bride; being photographed; L:on a stairway in a very public area)","The couple is getting their picture taken.","entailment"
"(Two men; adjusting; the bagpipe) ||| (one; playing; a bagpipe)","One man playing a trumpet while the other plays piano.","contradiction"
"(spectators; watching; the drag race from the stands) ||| (Two dragsters; race; down; the track in front of a crowd of spectators)","The people in the stands are watching a ballet.","contradiction"
"(A man with sunglasses; is standing; in front of tree - covered hills) ||| (A man with a beard; is standing; in front of tree - covered hills)","The bearded man is standing in front of the trees.","entailment"
"(A young man; juggles; six white balls) ||| (A young man; juggles; six black balls)","A man is throwing sticks to a dog.","contradiction"
"(a young child; look; at an aquarium) ||| (A woman; look; at an aquarium)","a mother and child on a field trip","neutral"
"(Cattle - drawn wagons; loaded; with sticks) ||| (Cattle - drawn wagons; traveling; down a paved road)","the wagons are carrying sticks full of resin for starting a fire","neutral"
"(A guy on the edge of the water; doing; arm pushup) ||| (the water; dressed; in green)","The soldier is doing arm pushups.","neutral"
"(wool cap; stands; by the road) ||| (Asian women; stands; by the road; L:in black coat)","A man is wearing shorts and sitting on the curb.","contradiction"
"(An elderly woman with glasses; is standing; in a city) ||| (An elderly woman with a headscarf; is standing; in a city)","A boy is walking his dog in the country.","contradiction"
"(A man; is wearing round; red glasses) ||| (A man; is sitting down; )","Five women walk on the street wearing ball caps.","contradiction"
"(A town of onlookers; enjoy; the beautiful day) ||| (A town of village shoppers; enjoy; the beautiful day)","None of the shoppers were wearing coats that day.","neutral"
"(green vest; is taking; a picture of a horse) ||| (A happy woman in a brown hat; is taking; a picture of a horse)","A smiling woman takes photos of her horse in it's stable.","neutral"
"(a village; surrounded; by trees) ||| (Two little girls; are riding; a bike; L:in a village)","The girls are being transported on something with wheels.","entailment"
"(The gray vehicle; is racing; through the gravel) ||| (The blue vehicle; is racing; through the gravel)","A blue and red car having it's wheels reparied.","contradiction"
"(A boat with their belongings; is; in the water) ||| (A boat with people; is; in the water)","A train is on land.","contradiction"
"(A young man in t - shirt; is snowboarding; L:under a bright blue sky) ||| (A young man in shorts; is snowboarding; L:under a bright blue sky)","the man is very cold","neutral"
"(The boy; is wearing; a white uniform) ||| (The boy; is wearing; a green uniform) ||| (The boy; is running; towards a soccer ball)","A boy is competing for a championship.","neutral"
"(three other boys; observing; ) ||| (Young man; grinding; )","The boys are using binoculars.","neutral"
"(A baseball player; swings; the bat; as umpire watch) ||| (A baseball player; swings; the bat; as a catcher)","The batter is throwing the baseball bat.","contradiction"
"(a dog; lying down; ) ||| (A dog; walks; L:in the grass towards a dog)","Two dogs are in the grass.","entailment"
"(A man in black clothes; is standing; on a drawing on a wall) ||| (A man in black clothes; is standing; on a ladder)","A man is making art.","neutral"
"(an orange shirt; sitting; on a bench) ||| (A man; shaking; the hand of a woman in an orange shirt)","A male is touching a females hand.","entailment"
"(tall , gray hair; sits; next to a pile of peanuts) ||| (An older women , with dark skin; sits; next to a pile of peanuts)","The woman is standing in an empty room.","contradiction"
"(a black dog; jumping; through a field of long blades of grass) ||| (a brown dog; jumping; through a field of long blades of grass)","the dog is a collie","neutral"
"(One man in jeans; catches; a frisbee on a college campus) ||| (One man in a blue shirt; catches; a frisbee on a college campus)","A man is playing catch.","entailment"
"(two different football teams; dressed; in yellow) ||| (two different football teams; dressed; in blue) ||| (Members of two different football teams; are; on the field; along with a referee) ||| (two different football teams; dressed; in white)","The teams are playing their last game.","neutral"
"(A middle - aged gentleman; is sitting; in a small booth; with a table full of different sizes of fish) ||| (A middle - aged gentleman; is sitting; in a small booth; with a table full of different types of fish)","A middle-aged man is getitng ready to eat fish.","neutral"
"(Four guys; sitting; around a table; with glasses full of beer) ||| (Four guys; sitting; around a table; with two candles full of beer)","Four guys are at a church service.","contradiction"
"(Craftsman; is working; with a nail gun) ||| (Craftsman; is working; with wood)","The man is fixing something.","neutral"
"(a blue button down a woman in a white tank top; laugh together; ) ||| (a blue button down a woman in a black tank top; laugh together; ) ||| (a blue button down shirt; laugh together; ) ||| (A man in black rimmed glasses; laugh together; )","Two coworkers are laughing together.","neutral"
"(a young woman on her cellphone; are together; in a kitchen) ||| (Four young men; are together; in a kitchen)","Five people are in a room together.","entailment"
"(There; is a man with; a small boy) ||| (a man with a small boy on his lap; sitting; in the drivers seat of a jeep)","A person sitting.","entailment"
"(a skater; performing; a trick; over one of the photographers) ||| (Three photographers; taking; a picture of a skater)","The BMX biker fell in front of his girlfriend.","contradiction"
"(People; taking; a break) ||| (People in a busy area; walking; )","The people are in a quiet and empty area.","contradiction"
"(a woman; wearing; yellow sunglasses) ||| (a woman; holding; a suitcase) ||| (A man on stilts; walks; L:behind a woman)","A person taller person walks around a lady holding things.","entailment"
"(A man; holds up; an ax) ||| (A man in sunglasses; sits; at; L:on an outdoor table)","the man is a lumberjack","neutral"
"(people; seen; from behind) ||| (jeeps; packed; with people) ||| (Outdoor area; crowded; with jeeps)","The vehicles are trucks","contradiction"
"(An individual in white clothing; is; in the foreground of a group of children) ||| (An individual in black clothing; is; in the foreground of a group of children) ||| (a mask; is; in the foreground of a group of children)","Nobody is wearing a mask.","contradiction"
"(Two utility workers in yellow suits with shovels; are standing; on the sidewalk next to a flooded street) ||| (Two utility workers in blue suits with shovels; are standing; on the sidewalk next to a flooded street)","A couple of kids are out in the street playing in the water because the repair men are not there yet.","contradiction"
"(A person; skis down; a tree - filled hill) ||| (A person; skis down; a snowy - filled hill)","A person participating in a ski race.","neutral"
"(a red van; parked; outside) ||| (Two children; are walking; towards a house with a red van)","a couple of kids are driving toward the house","contradiction"
"(The white dog; swims; with a brown object in its mouth) ||| (The black dog; swims; with a brown object in its mouth)","a swimming dogs has a stick in its mouth.","neutral"
"(A little girl in blue a brown jacket; is jumping; up; L:on the sidewalk) ||| (A little girl in blue a pink top; is jumping; up; L:on the sidewalk) ||| (A little girl in blue sneakers; is jumping; up; L:on the sidewalk) ||| (A little girl in blue jeans; is jumping; up; L:on the sidewalk)","There is an old man in red plaid pants.","contradiction"
"(The man; has; a white scarf around his neck) ||| (The man; has; a black scarf around his neck)","A women is dressed head to toe in red.","contradiction"
"(a woman in a wedding dress; pose; with a bouquet of red roses) ||| (a woman in a wedding dress; pose; with a bouquet of orange roses) ||| (A man in a black; tuxedo pose; with a bouquet of red roses) ||| (A man in a black; tuxedo pose; with a bouquet of orange roses)","the man is in blue sweat pants","contradiction"
"(A smiling man; is drinking; alcoholic beverage) ||| (A smiling man; is sitting; in the chair)","A man drinks a beer, enjoying it.","neutral"
"(some; are lying; on the ground) ||| (People; are; at an event)","Some people have passed out.","neutral"
"(A crowd of people; stand; in front of a red building) ||| (people; sporting; umbrellas)","the crowd is protesting","neutral"
"(A young woman; is running; a marathon; L:in a light blue spandex shorts) ||| (A young woman; is running; a marathon; L:in a light blue tank top)","The woman is sitting.","contradiction"
"(a long, wet spike; coming; off the top of her head) ||| (A smiling toddler; is sitting; in a bathtub; with her wet hair; T:pulled into a long, wet spike)","The child is mad that her parents put her hair up.","neutral"
"(woman; are walking; L:on the sidewalk next to a construction site) ||| (A man; are walking; L:on the sidewalk next to a construction site)","a man walks his dog","contradiction"
"(A man in blue jeans; rides; his bicycle; by a brick building) ||| (A man in a white shirt; rides; his bicycle; by a brick building)","A man is riding his bike down the street.","entailment"
"(dog; standing; on the beach) ||| (Man; standing; on the beach)","There is a person and an animal outdoors.","entailment"
"(women on motorized scooter together; driving; L:on bridge with background blurred) ||| (man on motorized scooter together ( in focus; driving; L:on bridge with background blurred)","Two people are on a scooter.","entailment"
"(A man in a red hat; is sitting; on a stand under a green flag) ||| (A man in a red hat; is sitting; on a stand under shade)","A spectator watches the race from some shade.","neutral"
"(lady; are walking; L:on a sidewalk next to a white building) ||| (A young man; are walking; L:on a sidewalk next to a white building)","A young couples are being abducted by aliens","contradiction"
"(Three high school students; presenting; their project) ||| (Three high school students; are; in front of their class)","Three students present their project on the Philosophy of Doctor Who and renewal through change.","neutral"
