"Premises","Hypothesis","GoldLabel"
"(A group; to be participating; in a ceremony) ||| (A group; appear; ) ||| (A group of people in matching native costume; are assembled; )","There seems to be a ceremony going on involving people in costumes that are native.","entailment"
"(Many pigeons; ripped; blue jeans) ||| (Many pigeons; are; crowded around the feet of a woman in a blue tank - top)","There are birds around a woman.","entailment"
"(blue shorts; follows; a two people in red shirts up a staircase) ||| (A woman in a white shirt; follows; a two people in red shirts up a staircase)","There is only one person present.","contradiction"
"(a woman in purple pants; is bending; over reaching into a dishwasher) ||| (a woman in a black shirt; is bending; over reaching into a dishwasher)","Someone is taking dishes out of the dishwasher.","neutral"
"(A girl in colorful hat; posing; for the camera) ||| (A girl in colorful clothes; posing; for the camera)","A girl is having her picture taken.","entailment"
"(A group of women; take; a picture; L:in front of a building) ||| (A group of Asian men; take; a picture; L:in front of a building)","They are inside the living room talking about thier trip.","contradiction"
"(Two; laughing; ) ||| (Two schoolgirls; peeking; around a tree)","Children laughing and playing by a tree.","entailment"
"(A man in yellow rain gear; looks on; as a man in a green jacket swings a pick at the ground) ||| (yellow rain gear; holding; a shovel)","The men are both holding open books in their hands.","contradiction"
"(Two girls; play; ) ||| (Two girls in jean dresses; laugh; )","Two girls wearing matching blue jean dresses are laughing and playing in the field.","entailment"
"(an asian woman in a crowded venue; to snap; a picture) ||| (a crowded venue; getting; ready to snap a picture)","She is attending a concert.","neutral"
"(A woman dressed in brown shoes; soaking; her feet; L:in a rocky creek; T:while sitting on a towel) ||| (A woman dressed in plaid shorts; soaking; her feet; L:in a rocky creek; T:while sitting on a towel) ||| (A woman dressed in a blue shirt; soaking; her feet; L:in a rocky creek; T:while sitting on a towel)","A woman sleeps underneath the stars.","contradiction"
"(a blue shirt; is crying; ) ||| (A baby with blond curls; is crying; )","the baby has curly hair.","entailment"
"(the baby; is petting; a goat) ||| (A man; is holding; a baby)","A dog is playing poker.","contradiction"
"(A woman; is dancing; ) ||| (A man; is dancing; )","Two people are eating.","contradiction"
"(men; fencing; ) ||| (a gym; surrounded; by men) ||| (A man; is standing; in a gym)","The man is deciding if he wants to join","neutral"
"(Young boy; kicks; a white soccer ball; L:on a grassy field) ||| (Young boy; kicks; a red soccer ball; L:on a grassy field)","the boy is sleeping at home","contradiction"
"(young girl; are; on a couch) ||| (A male , female; are; on a couch)","There are people outside playing on the swingset.","contradiction"
"(Some; looking; at a device) ||| (Some Black children; are standing; )","The black children are sitting in the classroom.","contradiction"
"(A crowd of people; are standing; outside; with umbrellas; because it is raining) ||| (A crowd of people; are standing; outside; with coats; because it is raining)","People are inside because it is snowing.","contradiction"
"(The white bog; has; a red item in its mouth) ||| (The brown bog; has; a red item in its mouth)","A dog is yellow.","contradiction"
"(A man in an orange vest; sits; at a computer terminal) ||| (A man in; worn; L:over a blue short-sleeve collar shirt)","A man is standing on top of a bus","contradiction"
"(A young woman; playing; singing on a stage) ||| (A young woman; playing; guitar; L:on a stage)","A guy in a dress fools a crowd.","contradiction"
"(women; walking; down a sidewalk) ||| (Men; walking; down a sidewalk)","People heading to work in the morning in a city.","neutral"
"(A girl in a black shirts; is; vac - cumming; L:beneath the dishwasher in a kitchen) ||| (A girl in black shorts; is; vac - cumming; L:beneath the dishwasher in a kitchen)","A girl is trying to get her house clean.","neutral"
"(a white dog; is running; beside a green fence in a grassy garden) ||| (a brown dog; is running; beside a green fence in a grassy garden) ||| (a black dog; is running; beside a green fence in a grassy garden)","the dogs are by the fence","entailment"
"(A boy; is; on a ramp with his feet up on a skateboard) ||| (A boy; is; on a ramp with his hands down)","The boy is doing tricks.","neutral"
"(a woman with backpacks; are; outside) ||| (A man; are; outside)","They are inside.","contradiction"
"(a chair; covered; by a sports jersey) ||| (A man; is standing; over a cubicle with a chair)","The man is swimming","contradiction"
"(woman; are gazing; L:at each other; L:on a balcony inside a building) ||| (A man; are gazing; L:at each other; on a balcony inside a building)","Two people look at each other.","entailment"
"(One boxer in white shorts; is punching; the other boxer; L:in red shorts in the face) ||| (One boxer in white shorts; is punching; the other boxer; L:in blue shorts in the face)","Two boxers are fighting.","entailment"
"(A person in pants; to be digging; L:in a wooded field; with several cars in the background) ||| (A person in pants; appears; ) ||| (A person in a green jacket; to be digging; L:in a wooded field; with several cars in the background) ||| (A person in a green jacket; appears; )","The person is digging outside.","entailment"
"(a yellow life vest; poses; with a smiling man) ||| (An open mouthed child in goggles; poses; with a smiling man)","The child is ready for bed.","contradiction"
"(groom; are walking; up; a staircase) ||| (A bride; are walking; up; a staircase)","The couple is filing for divorce.","contradiction"
"(one; is; smoking) ||| (Tw woman; stand; outside a building)","people near a building","entailment"
"(Two men; having making; faces; L:in a cafeteria) ||| (Two men; having; fun)","Two men are eating lunch.","neutral"
"(A woman with giant sunglasses; is holding; a mirror; T:up to her face) ||| (A woman with a very large black wig; is holding; a mirror; T:up to her face)","The woman's hair is long and blonde and natural.","contradiction"
"(The two football players in purple pants; tackle; the player in the red jersey) ||| (The two football players in white jerseys; tackle; the player in the red jersey)","The players are playing a video game.","contradiction"
"(A man with arm protection; is being bitten; by a large dog) ||| (A man with a stick; is being bitten; by a large dog)","The man is not holding a stick.","contradiction"
"(son; are sledding down; a snowy slope with smiles on their faces) ||| (A mother; are sledding down; a snowy slope with smiles on their faces)","The mother and the son are having fun.","entailment"
"(A white man with clown makeup; wearing; a white hat) ||| (A white man with clown makeup; wearing; a microphone)","The man is going to a birthday party.","neutral"
"(A couple; looking out; at the ocean) ||| (A couple; sitting; on rocks)","Ten people are partying on the beach.","contradiction"
"(a woman; play; an accordion) ||| (A man; play; violin; T:on the sidewalk for tips from pedestrians) ||| (A man; play; an accordion)","They are both eating.","contradiction"
"(Two women; shoveling; it) ||| (Two women; are standing; on a mound of dirt)","Two women are burying a dead body.","neutral"
"(A man in a wide brimmed hat; walking; down; railroad tracks) ||| (a wide brimmed hat; carrying; a basket)","the man is riding the train","contradiction"
"(Several African American men; are wearing; hats) ||| (Several African American men; are wearing; white suits with blue ribbon accents) ||| (Several African American men; are holding; guitars)","They are playing rock music.","neutral"
"(Many women; are standing; with their left leg in their arms; T:straight up in the air) ||| (Many women; are standing; with their left leg; L:in front; T:straight up in the air)","The women are standing to run a race.","neutral"
"(one; is; in the act of throwing a small beanbag at a box in the foreground) ||| (Two people; playing; a game)","Tall humans playing","neutral"
"(a black woman; walking; by) ||| (A food vendor; looking; at a black woman) ||| (A food vendor; is standing; on the sidewalk next to his food cart)","The food vendor wants fewer customers and to lose money.","contradiction"
"(Two; compete; for the puck; T:while a goalie crouches in front of the net) ||| (Two hockey players; stand; )","A bird is eating a fish","contradiction"
"(People; involving; laptops) ||| (People; are engaged; in worked)","The group of workers have to use laptops so they can work outside.","neutral"
"(a cart; trying; to sell various food items) ||| (a man; is; behind a cart)","A person tries to sell food near a cart.","entailment"
"(dark pants; stands; close to a girl in blue jeans on an escalator) ||| (dark pants; stands; close to a girl in a pink sweatshirt) ||| (A man in a white sweatshirt; stands; close to a girl in blue jeans on an escalator) ||| (A man in a white sweatshirt; stands; close to a girl in a pink sweatshirt)","A father and daughter are walking to their car.","contradiction"
"(A man with a black shirt; is drinking; a beer; L:outside) ||| (A man with a black hat; is drinking; a beer; L:outside) ||| (A man with a black shirt; is talking; on a cellphone) ||| (A man with a black hat; is talking; on a cellphone)","A lady sips wine while talking to her dog.","contradiction"
"(Man in black baseball cap; juggling; L:on a street) ||| (black jacket; juggling; L:on a street)","A man is juggling 3 SUVs.","contradiction"
"(young child; look; at the fish) ||| (Old man; look; at the fish)","Two people look at cats.","contradiction"
"(another woman in a black top; is looking; down; at a little boy with a striped blue shirt) ||| (another woman in a black top; is looking; down; at a little boy with a striped white shirt) ||| (another woman in a black top; is looking; down; at a little boy with a blue hat) ||| (A woman in a gray t - shirt; is looking; at a cellphone in her hand)","Some people are running.","contradiction"
"(Three men; are wearing; playing instruments) ||| (Three men; are wearing; native clothing)","Three women in jeans are playing pianos.","contradiction"
"(her laptop; sitting; at her desk) ||| (A worker; is looking; at her laptop)","A woman is typing an E-mail.","neutral"
"(Two woman; bundling; their harvest) ||| (Two woman; standing; in a calm wheat field)","The two women were taking their time bundling their wheat harvest","neutral"
"(one; is; in the act of throwing a small beanbag at a box in the foreground) ||| (Two people; playing; a game)","Nobody is playing","contradiction"
"(A little boy in a white uniform; is running; towards a gold soccer ball) ||| (A little boy in a white uniform; is running; towards a black soccer ball) ||| (A little boy in a white uniform; is running; towards a red soccer ball) ||| (A little boy in a green uniform; is running; towards a gold soccer ball) ||| (A little boy in a green uniform; is running; towards a black soccer ball) ||| (A little boy in a green uniform; is running; towards a red soccer ball)","The boy is wearing shin guards.","neutral"
"(The heavy man; is sitting; on a sleeping) ||| (The heavy man; is sitting; on a bus)","A heavy man is asleep","entailment"
"(This woman; holding; a cup) ||| (This woman; is wearing; a white t - shirt)","The woman is on drugs.","contradiction"
"(A woman in a white skirt; hits; a tennis ball; with her racket on a tennis court) ||| (A woman in a red top; hits; a tennis ball; with her racket on a tennis court)","The woman has no arms or legs.","contradiction"
"(A boy in an orange baseball cap; sits; in a grassy field next to a black ball) ||| (A boy in an orange shirt; sits; in a grassy field next to a black ball)","The boy is picking dandelions.","neutral"
"(black coat; pushing; a cart full of bags on a travelator) ||| (A man with glasses; pushing; a cart full of bags on a travelator)","A woman is sitting in the airport.","contradiction"
"(The brown dog; shakes off; ) ||| (The brown dog; stands; in the water)","The dog is playing in the water and pauses to shake off some mud.","neutral"
"(an adult watch bubbles; float; L:through the air; L:in front of them) ||| (Two little girls; float; through the air; L:in front of them)","Three adults watch bubbles.","contradiction"
"(a snow; covered; T:landscape) ||| (Two horses; pulling; a sled; in a snow)","People traveling by horse-drawn carriage.","neutral"
"(his food; to come; ) ||| (A man; is waiting; for his food)","A man waits for his pizza.","neutral"
"(A bunch of children; are working together; on construction) ||| (A bunch of adults; are working together; on construction)","A group of people are building a house.","neutral"
"(a cut on his lip; holds out; his right hand) ||| (Odd child with fake eye barrows; holds out; his right hand)","The boy is hurt.","entailment"
"(Three women, at tables; engaged; in note from open books) ||| (Three women, at tables; pushed; together)","The women are striving to read a note.","neutral"
"(a bridge; wearing; a surgical mask) ||| (An Asian woman; walks; across a bridge)","A male walk across a bridge.","contradiction"
"(a sidewalk; playing; the guitar) ||| (A young man; sitting; by a dumpster on a sidewalk)","A man is playing country music for some loose change.","neutral"
"(A goalie; is; there is an object in front of the net) ||| (A goalie; is playing; hockey)","The person is a goalie.","entailment"
"(A woman; smiling; ) ||| (A woman; standing; in front of a beach scene)","A woman is standing outdoors near the water.","entailment"
"(candles; sitting; in a corner of a room with book shelves behind them) ||| (a table; filled; with candles) ||| (snacks; sitting; in a corner of a room with book shelves behind them) ||| (a table; filled; with snacks) ||| (Five people; playing; a board game; L:on a table)","the people are women","neutral"
"(the girl; is wearing; black clothes) ||| (The boy; is wearing; a blue shirt)","The children are clothed.","entailment"
"(several children; participate; in a swimming lesson) ||| (Four adults; participate; in a swimming lesson)","People are learning how to swim at the YMCA.","neutral"
"(A man in glasses; holds; a microphone) ||| (A man in a dark shirt; holds; a microphone)","A woman is singing.","contradiction"
"(the man's face; pressed; against the child's cheek) ||| (A child in a black shirt; is being embraced; by an older man in a white shirt)","No men are in the photograph.","contradiction"
"(a road; using; an umbrella; to shade her from the sun) ||| (A lady; is walking; across a road)","The woman is outside on a sunny day carrying a blue umbrella.","neutral"
"(A vendor; stuffed; animals; L:on the sidewalk) ||| (A vendor; sells; inflatable toys)","A man is selling stuff.","neutral"
"(a blond middle-aged woman; talking; on her cellphone; L:at a local fair) ||| (Here; is; a picture of a blond middle-aged woman)","Some women are visiting the local fair, where they see someone talking on their cell phone.","neutral"
"(a man; walking; down the sidewalk) ||| (A woman; holding; a cup of a man) ||| (A woman; holding; a cup of beer)","The woman and man are outdoors","entailment"
"(Two people with dark hair; sharing; a pair of earbuds) ||| (Two people with dark hair; are sitting; at a table; L:in public)","No one is at a table.","contradiction"
"(motorcycles; parked; in front of a street market) ||| (Shoppers; walk; past a line of motorcycles)","shoppers are walking","entailment"
"(The man in glasses; is talking; on a cellphone) ||| (glasses; carrying; an Obama poster)","The man has poor eyesight.","neutral"
"(Men; looking; at a white race car) ||| (Men; looking; at a red race car) ||| (Men; are standing; around)","A group of men admire a racecar.","neutral"
"(one; is hitting; the ball) ||| (Two men; playing; tennis)","The men are watching the ball fly between them.","contradiction"
"(A woman; wearing; red walks; L:through a rustic urban area) ||| (A woman; wearing; blue walks; L:through a rustic urban area)","The woman is not riding a bike.","entailment"
"(two; grilling; ) ||| (two men; are hanging out; )","Three little girls are swimming.","contradiction"
"(one; snaps; a photo as a man jumps off of a bridge) ||| (Spectators; watch; )","A man is tired of his difficult life and decides to commit suicide.","neutral"
"(Lots of people; are; at a bar) ||| (people; dressed; in red)","The people are wearing yellow at the beach","contradiction"
"(A toddler in a blue shirt with red hat; looks; out; from behind a fenced in area of a brick patio) ||| (A toddler in a blue shirt with red shorts; looks; out; from behind a fenced in area of a brick patio)","toddler trying to cross the fence","contradiction"
"(a man; sitting down; L:in a brown shirt) ||| (A young woman; looks; at a paper with a man)","Three people sitting","contradiction"
"(A young girl; holds; a basket; with a bow in another) ||| (A young girl; holds; flowers; L:in one hand)","The young girls holding the basket with the bow is selling flowers.","neutral"
"(Females; are painting; a large grid painting of other parts of the world) ||| (Females; are painting; a large grid painting of Africa)","The females have black hair.","neutral"
"(A girl in jeans; is sleeping; L:on a brown sofa) ||| (A girl in a red tank; is sleeping; L:on a brown sofa)","The girl is cold.","neutral"
"(A black dog; wrestle together; ) ||| (A white dog; wrestle together; )","The animals which are wrestling are cats.","contradiction"
"(a factory; wearing; plastic gloves) ||| (a factory; wearing; plastic aprons) ||| (Two men; work; with machinery; L:in a factory)","the two men are construction workers.","neutral"
"(A skateboarder in a shorts; skates alone; L:in a wide open space) ||| (A skateboarder in a tan; skates alone; L:in a wide open space) ||| (A skateboarder in a black shirt; skates alone; L:in a wide open space) ||| (A skateboarder in a red baseball cap; skates alone; L:in a wide open space)","Cyclist wins Tour De France.","contradiction"
"(one man; wears; a blue one with a pink logo on the front) ||| (Two men; wear; plain white t - shirts)","Women are wearing blouses.","contradiction"
"(a man; are dancing; L:in public) ||| (A woman; are dancing; L:in public)","A couple is sitting down to eat","contradiction"
"(A young girl in a flip - flops; is holding; two cages) ||| (A young girl in a white outfit; is holding; two cages)","A young girl is preparing to put her pets away in cages.","neutral"
"(one; wearing; the other wearing a gray shirt with a race tag "" 5028 "" with a Coca - Cola machine in the background) ||| (one; wearing; the other wearing a gray shirt with a race tag "" 5028 "" with an ambulance in the background) ||| (one; wearing; a green shirt) ||| (Two young women; running; )","They are running in a 5K race for charity.","neutral"
"(An asian woman; holding; money; L:in her hand) ||| (An asian woman; stands; at a checkout counter)","The Lady is waiting at the checkout counter.","entailment"
"(A little boy in wearing a backwards cap; is swinging; ) ||| (A little boy in blue; is swinging; )","The boy is in school.","contradiction"
"(a woman in a blue dress; are playing; tennis) ||| (A man; are playing; tennis)","A married couple share their love of tennis.","neutral"
"(Two children in pale orange shirts; stand; on a field) ||| (Two children in hats; stand; on a field)","People are on a field.","entailment"
"(The lady in the green hat; is carrying; her groceries) ||| (The lady in the green hat; is carrying; her child)","The woman is carrying three bags of groceries.","neutral"
"(A group of a woman; are fixing; an inverted pink striped bike; L:in a grassy park) ||| (a woman; wearing; blue jeans) ||| (A group of a woman; are fixing; an inverted black striped bike; L:in a grassy park) ||| (a woman; wearing; a black shirt) ||| (A group of three young men; are fixing; an inverted pink striped bike; L:in a grassy park) ||| (A group of three young men; are fixing; an inverted black striped bike; L:in a grassy park)","A couple is walking along the pier.","contradiction"
"(woman; are standing; on the stairwell) ||| (A man; are standing; on the stairwell)","A couple is posing for prom pictures on the stairs.","neutral"
"(small children; looking; at something in the sky) ||| (small children; playing; L:in grass)","They are looking at the ground.","contradiction"
"(a girl; sitting; in a street) ||| (Photographers; take; pictures of a girl)","The photographer is a pervert.","neutral"
"(An white emergency van; is; on the street; L:in front of a building with many windows) ||| (An orange emergency van; is; on the street; L:in front of a building with many windows)","Cable van stuck in traffic, in the middle of a rain storm.","contradiction"
"(a blue tee - shirt; is; on a skateboard on pavement) ||| (a skateboard on pavement; lined; with palm trees) ||| (A young man in blue jeans an sunglasses; is; on a skateboard on pavement)","A man is riding a skateboard through a neighborhood he's never been to.","neutral"
"(two young women; work; on a blue bike) ||| (Two men; work; on a blue bike)","Four people butchering a cow.","contradiction"
"(A young African - American man; is wearing; a sideways cap talking into a microphone in a dark club) ||| (A young African - American man; is wearing; a denim jacket)","The man speaking into the microphone is has his hair cut in an afro style.","neutral"
"(Girl; playing; for a party) ||| (Girl; standing; in front of a musical band)","Lucifer is a peacenik.","contradiction"
"(A woman in woman in black; talking; on cellphones) ||| (A woman in woman in black; are standing; by each other) ||| (A woman in white; talking; on cellphones) ||| (A woman in white; are standing; by each other)","The women are reading the newspaper.","contradiction"
"(A woman; sprays all around; the water) ||| (A woman; flips; her hair full of water)","The lady can not find her towel to dry her hair.","neutral"
"(A man with a brown jacket; plays; Guitar Hero; L:in a crowded room) ||| (A man with a thin beard; plays; Guitar Hero; L:in a crowded room)","A woman is playing a video game with friends.","contradiction"
"(long hair; playing; a guitar) ||| (A man with; wearing; glasses)","A lady plays the bass.","contradiction"
"(younger girl; are opening; presents up) ||| (Older women; are opening up; presents)","It is the younger girl's birthday.","neutral"
"(A woman; looks; up) ||| (A woman; extends upward; an arm) ||| (A woman in a purple tank top; holds; a tennis racket)","The woman with the tennis racket is competing for a Major.","neutral"
"(a man; watching; ) ||| (One boy; jumping; with two boys)","Two boys and a man watch as a boy jumps high in the air.","entailment"
"(A biker; riding; a blue bike) ||| (A biker; all covered; in mud)","The biker is clean.","contradiction"
"(A jet plane; ascending; into the sky) ||| (A jet plane; departing; the airfield)","The airplane with many people in it were taking off.","neutral"
"(a hat; is singing; into a microphone) ||| (The guy; wearing; sunglasses)","The singer is singing his songs at the concert.","neutral"
"(a girl; are sitting; on a tile floor; L:behind a wooden rack for weaving) ||| (A woman; are sitting; on a tile floor; L:behind a wooden rack for weaving)","Two females sit by a loom.","entailment"
"(Some in a group of young students; are raising; their hands) ||| (young students; sitting; on a rug)","The group of students are singing a song in unison.","neutral"
"(Two little girls; play; L:on the jungle gym) ||| (both; dressed; in pink)","Two girls in blue dresses eat ice cream.","contradiction"
"(A man in a white dress pants; sits; just underneath a stone archway) ||| (A man in a white shirt; sits; just underneath a stone archway)","A man is sitting while waiting for a bus.","neutral"
